killed,pov15,emp15,ab100k15,mdhinc15,snap15,bagrad15,nohs2515,wbrat15,rural15,pop15
8,17.3,56.9,0.15036168,49477,12.9,18,0.150153705,17.23136905,0.191625529,406220
0,23.5,63.1,0.128133342,40140,24.3,22,0.268013213,227.5333333,0.357912271,46137
8,16,62.6,0.137276568,44748,12.3,25.6,0.103309899,154.0116732,0.354770356,221584
4,20.7,60.8,0.119140984,40743,20.1,14.4,0.288581453,36.4155814,0.106033011,203706
0,20.1,66.8,0.104610616,36411,18.2,12.4,0.178728663,2.81812513,0.388406104,18373
0,20.7,59.6,0.097874385,34263,21.4,13.2,0.150999516,2.725575494,0.52096281,20810
0,15.9,63.5,0.07911253,35396,13,17.9,0.12561694,294.1259259,0.678520815,41070
0,12.2,74.1,0.236792343,56239,7.8,30.2,0.132079876,58.98197691,0.26572773,250851
0,17.7,66.3,0.112826683,39251,16.4,14.7,0.142189792,272.2651515,0.614488619,37229
0,29,60.8,0.100260983,33701,24.4,13,0.204863381,2.092449923,0.527645051,11053
0,17.8,65.3,0.132705882,36899,11.3,10.4,0.192719486,3.445399828,1,5209
0,18.3,68.1,0.07880113,36897,13.4,16.7,0.168223817,167.1602564,0.775499668,27744
0,31.7,54.6,0.07932639,28913,27.2,11.1,0.21087652,0.794314654,0.56779192,10985
0,23.7,65,0.104020274,35031,14.2,23.9,0.131618874,3.066531888,0.609340395,22642
1,21.8,65.2,0.069883527,32552,17.4,11,0.213880242,265.0178571,0.593325862,15067
0,14.5,62.9,0.130747268,42905,9.8,16.8,0.149933705,187.9097744,0.808290155,25469
0,20.8,64.4,0.145770846,43158,14.6,15.4,0.137763932,7.89197861,1,8299
0,25.6,68,0.131916224,36619,20.5,20,0.158419792,1.687030835,0.585719214,24140
1,22.6,64.1,0.127361875,37732,17.2,16.5,0.157011669,7.095631641,0.703395062,20994
2,20.2,70,0.143167028,42475,15.9,25.4,0.124704197,5.950793651,0.319017648,104362
0,18.5,64.9,0.104528733,41268,14.8,14.5,0.14477852,80.33333333,0.541106644,61894
3,24.1,65.9,0.131403968,38004,22.9,16.4,0.189422368,0.896111594,0.229838522,48985
0,20.1,65.5,0.11274935,38103,16.8,13.7,0.198630137,3.251616111,0.574430154,17282
0,15.5,63.1,0.088669951,34084,15.6,13.1,0.169262143,1.344742522,0.58931475,7583
0,33,57.2,0.058611533,27197,30.1,11.9,0.225467432,1.037989578,0.343715061,12007
1,28.6,63,0.085726005,32819,19.3,20.5,0.173969072,2.365338276,0.510704091,18675
0,15.5,72.7,0.1961161,51223,11.4,28.3,0.091376412,7.440910439,0.378636403,121343
0,22,62.1,0.117334906,39285,17,12.3,0.178893392,103.9202454,0.823214063,17709
0,19.9,62.3,0.104528302,37066,17.5,10.6,0.145324863,790.2,0.922100915,12188
6,20.9,65.8,0.135864979,38733,13.9,21.4,0.11863746,10.21124151,0.337679038,97154
1,12,65.5,0.149438694,46171,9,17.1,0.110528439,24.69241983,0.748517659,18030
1,17.8,63.8,0.115214003,41286,16.3,15.4,0.160799471,104.8819095,0.412251285,44167
0,27,63,0.090758021,32122,13.9,12.2,0.218737326,2.193993994,0.593531049,22038
1,19.1,61.4,0.106130521,40000,16.9,13,0.152437717,7.362091167,0.674365057,33483
0,21.8,66.9,0.114874233,34229,13.2,15.1,0.219525833,3.103891709,0.688842578,13350
1,21.8,65.2,0.098047479,36265,14.6,15.9,0.170774718,45.96179183,0.693890159,37073
1,21,55.3,0.063795278,32630,16.5,12.7,0.179104478,80.68518519,1,13454
0,26.8,46.1,0.080612084,31261,22.4,8.8,0.23022554,4.590298263,0.595842652,17350
3,25.5,59.5,0.112770724,36747,20.5,17.5,0.152217618,0.746630464,0.314397382,71764
1,22.1,65.2,0.084956978,34139,15.4,17.1,0.207327129,47.94366197,0.730527805,26146
0,24.4,54.2,0.090459364,31194,24,11.8,0.216184747,1.593806266,1,6981
1,23.9,61.2,0.078853047,32379,19.1,12.9,0.179429168,108.2941176,0.6445,16741
0,27.3,42.3,0.066574202,28393,36.2,7.9,0.311971326,0.757381715,0.570018365,9645
1,23,35.1,0.105940594,32580,23.2,8.9,0.216318033,2.14259556,1,13841
0,19.3,59.9,0.085126643,36205,18.2,10,0.151609323,3.564969605,0.706656347,12445
0,19.3,63,0.105471019,35325,15.8,12.6,0.175360126,50.36117936,0.699643846,21796
3,12.4,71.4,0.182253271,53631,10.7,19.1,0.128095477,14.67805672,0.453687727,71697
0,20.5,68.8,0.097033765,37691,13.1,10.7,0.215591647,204.0547945,1,15717
1,18.8,55.6,0.055812565,34195,17.1,13.2,0.146091516,378.452381,1,16214
1,20.3,65,0.114740566,40317,16.6,14.3,0.147661962,2.865955686,0.394118562,43899
2,26.8,60.5,0.108161718,34612,23.4,13.2,0.20361864,1.781766712,0.349528325,43699
0,32.8,58.3,0.057669441,27647,28.7,9.4,0.231024931,1.37444232,0.719191919,7415
1,17.9,63,0.100719424,33037,16.9,12.3,0.196221363,127.7058824,1,8972
0,28.1,62.2,0.082949309,30691,20.8,14.1,0.166279841,2.184103512,0.711374096,8553
0,20.5,63.2,0.051057402,34536,14.7,14.6,0.180958812,0,1,7923
0,24.1,65.5,0.092683851,31293,19.3,16.1,0.139161566,1.422197933,0.569163936,24370
0,16,64.6,0.11463478,42346,15.4,11.5,0.187421559,45.08878505,1,10182
0,34.1,57.5,0.08887523,26844,34.3,10.8,0.245876249,0.597210044,0.490124432,19534
0,20.2,64,0.081515499,33097,14.3,14.6,0.185064512,28.4454023,1,10854
0,22.8,59.6,0.065690286,33070,23.2,8.4,0.230986261,10.8046953,0.715279685,24028
1,24.1,61,0.083301732,33702,20.7,12,0.148814159,449.6904762,0.724755049,20225
2,20,67,0.120468095,39810,12.1,20.9,0.173134857,28.75816993,0.563970099,63492
0,21.4,68,0.079194982,35833,18.4,10.3,0.207345191,6.991304348,1,8280
15,17.6,69.5,0.188161307,46140,13,32.9,0.103285686,1.642133127,0.117131383,392932
1,21.1,61.2,0.080572597,34044,22,13.4,0.175128351,138.8943089,0.682250675,17455
0,24.8,51.4,0.061187699,32105,26.7,11.4,0.21491275,0.837433909,0.613867743,26578
5,9.1,74.1,0.198066148,55817,10,23,0.113984613,15.50233469,0.35571623,117358
0,20.1,63.6,0.071270037,37321,20.6,11.6,0.227116311,540.3888889,0.703446948,10510
2,23.6,58.6,0.065258512,33083,14,13.9,0.180588839,345.8636364,1,7850
1,23.2,67.5,0.131103895,38575,16.1,19.2,0.17826383,12.95125,0.204131672,127590
0,22.1,69.1,0.086748971,36579,20.8,7.9,0.307540799,13.62068966,0.692899666,17226
0,23.6,56.3,0.029825549,30691,17.2,9.9,0.168404758,236.5217391,0.778354714,16931
0,24.6,56.1,0.096266044,29264,16.3,15.9,0.208874099,2420.4,1,12430
